customer_id,first_name,last_name,gender,email,address,region,effective_date,end_date,is_current,version
C02568,Jamie,Lopez,F,c02568@example.com,100 Main St,West,2023-01-01,,True,1
C02561,Chris,Lee,F,c02561@example.com,101 Main St,North,2023-01-01,,True,1
C01895,Alex,Lopez,F,c01895@example.com,102 Main St,West,2023-01-01,,True,1
C00648,Morgan,Davis,F,c00648@example.com,103 Main St,West,2023-01-01,,True,1
C00828,Chris,Davis,F,c00828@example.com,104 Main St,East,2023-01-01,2024-06-30,False,1
C02965,Jamie,Wilson,M,c02965@example.com,105 Main St,West,2023-01-01,,True,1
C02930,Pat,Brown,M,c02930@example.com,106 Main St,North,2023-01-01,,True,1
C01599,Pat,Lopez,F,c01599@example.com,107 Main St,Central,2023-01-01,,True,1
C00560,Jordan,Johnson,F,c00560@example.com,108 Main St,South,2023-01-01,,True,1
C02528,Sam,Lee,M,c02528@example.com,109 Main St,West,2023-01-01,,True,1
C01303,Sam,Brown,F,c01303@example.com,110 Main St,South,2023-01-01,,True,1
C02472,Jordan,Wilson,F,c02472@example.com,111 Main St,Central,2023-01-01,,True,1
C00077,Taylor,Smith,F,c00077@example.com,112 Main St,South,2023-01-01,,True,1
C02180,Taylor,Davis,M,c02180@example.com,113 Main St,West,2023-01-01,,True,1
C02567,Jordan,Johnson,M,c02567@example.com,114 Main St,North,2023-01-01,,True,1
C02506,Alex,Garcia,M,c02506@example.com,115 Main St,East,2023-01-01,,True,1
C01233,Chris,Smith,M,c01233@example.com,116 Main St,West,2023-01-01,,True,1
C00926,Jamie,Martinez,M,c00926@example.com,117 Main St,West,2023-01-01,,True,1
C00540,Casey,Lee,F,c00540@example.com,118 Main St,East,2023-01-01,2024-06-30,False,1
C02347,Casey,Martinez,M,c02347@example.com,119 Main St,East,2023-01-01,2024-06-30,False,1
C01186,Pat,Lopez,F,c01186@example.com,120 Main St,East,2023-01-01,2024-06-30,False,1
C01384,Dana,Lopez,M,c01384@example.com,121 Main St,East,2023-01-01,,True,1
C01688,Pat,Brown,M,c01688@example.com,122 Main St,East,2023-01-01,,True,1
